spruce,n.云杉adj.整洁的
spud,"n.小锄,剥树皮的铲凿,马铃薯vt.用小锄锄"
sputter,"n.喷溅声,劈啪声,急语,咕哝vi.唾沫飞溅,发劈啪声,急忙地讲vt.喷出,飞溅出,气急败坏地说"
squall,"n.暴风,暴风雪,嚎啕vi.狂风吹袭,嚎啕,哇哇地叫嚷vt.尖声叫着"
squiggle,"n.胡乱写的字,花体"
steamroll,"vt.用压路机碾,粉碎,压倒vi.以不可抗拒之力前进"
strafe,"vt.用机枪扫射,猛烈炮轰,惩罚n.猛烈炮轰,机枪扫射,损害"
sublimate,"vt.[化][心]使升华,使高尚vi.升华,纯化adj.纯净化的,高尚的,理想化的,气质高贵的n.升华物"
sublime,"adj.庄严的,崇高的,壮观的,卓越的,极端的,异常的v.提高,(使)变高尚,(使)纯化,(使)升华n.庄严,崇高,顶点"
subvert,"vt.推翻,暗中破坏,搅乱"
succor,"n.救援,援助者,救援人员vt.援助,救援"
suede,n.小山羊皮
suffuse,v.充满
summons,"n.召唤,[律]传唤,召集,传票vt.传唤到法院,唤出,传到"
sunder,"v.切开,分离"
supersede,"vt.代替,取代,接替,紧接着...而到来,[律]延期vi.推迟行动"
swank,"adj.打扮漂亮的vi.出风头,炫耀n.出风头,炫耀,虚张声势,优雅"
swill,"vt.涮,冲洗,痛饮,倒出vi.大口地喝,发激荡声n.涮,冲洗,痛饮,泔水"
swish,"n.嗖嗖声vi.带着嗖嗖声挥动vt.使带着嗖嗖声地挥动adj.好看的,时髦的"
tabby,"n.平纹,斑猫vt.使起波纹adj.平纹织物的,起波纹的"
tattle,v.闲谈
tergiversate,"vi.推托,背叛,自相矛盾"
thud,"n.砰击声,重击vi.砰的一声掉下,轰的一声vt.砰地击中"
tinsel,"n.金银丝织品,华而不实,金属箔adj.闪亮的,俗丽的,华而不实的vt.用金箔装饰"
tipple,"n.致醉的饮料,烈酒vt.不断喝vi.饮烈酒"
titivate,"v.打扮,装饰,化妆"
toboggan,"n.平底雪撬v.乘橇滑下,急剧下降"
toenail,"n.脚趾甲,斜钉下去的钉子"
toggle,"n.[海]绳针,套索钉vt.拴牢"
tomahawk,"n.印第安战斧,钺vt.用战斧斩"
tomcat,n.雄猫
tousle,"n.乱七八糟的一团,糟乱vt.弄乱,搅乱"
traipse,"vi.漫步,拖曳vt.在...游荡,走过n.闲逛,长途跋涉"
trammel,"n.拘束,阻碍物,束缚物vt.拘束,阻碍,束缚"
trance,"n.恍惚,出神,着迷,[医]迷睡vt.使恍惚,使发呆"
triturate,"vt.弄成粉,粉碎,磨碎,捣碎n.磨碎的东西"
troll,"vi.旋转,合唱中的轮唱,钓鱼vt.使旋转,轮唱,放声高唱,钓n.旋转,轮唱,钓鱼"
trolley,"n.电车,(电车)滚轮,手推车,手摇车,台车vt.用手推车运vi.乘电车"
tromp,"v.践踏,跺脚"
trounce,v.痛击
truant,n.逃避者adj.逃避
truncheon,"n.(粗短的)棍子,警棍,权杖,职杖vt.用警棍打"
truss,"vt.捆绑n.(干草的)一捆,一束,构架"
tuft,"n.一丛,丛生植物,一蔟vi.丛生vt.用丛毛修饰"
turpentine,"n.松节油,松脂v.涂松节油,采松脂"
tussle,"n.格斗,斗争,争斗vi.扭打,打斗,格斗"
twaddle,"n.废话,闲聊vi.讲废话vt.胡说八道地讲"
twang,"n.弦声,砰的一声,鼻音,意味vi.砰然一声响,拨弦声,带鼻音vt.用鼻音讲,使发拨弦声"
twine,"n.合股线,细绳,麻线,搓v.搓,织,编饰,(使)缠绕"
twinge,"n.一阵一阵痛,如刺一样痛,剧痛vt.使一阵一阵痛,刺痛vt.感到剧痛,刺痛"
twit,v.嘲笑
twitch,"v.骤然一抽,攫取,抽搐,阵痛,抽动n.急扯,颤动,抽搐,阵痛,痉挛"
unsteady,"adj.不安定的,反复无常的vt.使不稳定,动摇"
unstuck,"adj.未粘住的,松开的,紊乱的"
upright,"adj.垂直的,竖式的,正直的,诚实的,合乎正道的adv.笔直,竖立着n.垂直,竖立"
vamoose,"v.匆匆离开,跑掉"
vamp,"n.鞋面,荡妇vt.修补,拼凑,捏造,勾引vi.[音]即席伴奏,勾引"
